date,realised_temp,issue_date,forecast_temp,HDD,forecast_error,abs_forecast_error,gasInStorage,workingGasVolume,full,trend,issue_date_price,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d,daily_rv,log_daily_rv,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,actual_date_price,GPRD
2022-02-07,6.075,2022-02-04,5.53125,1.1829365620076187,0.5821562237711072,0.5437500000000002,402.0459,1116.6739,-1.6834028636531424,-0.34,82.6520004272461,0.40187035268043414,0.8682463069712609,0.9944375235925756,-6.837862088397115,0.0008897558833757,-7.024563420080022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.59500122070312,-0.6025207958072796
2022-02-08,8.299999999999999,2022-02-05,7.300000000000001,0.7509883478498863,1.228568236166865,0.9999999999999982,399.3311,1116.6739,-1.695401386072343,-0.24,82.6520004272461,0.40187035268043414,0.8682463069712609,0.9944375235925756,-6.837862088397115,0.0008897558833757,-7.024563420080022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.30000305175781,-1.335781079020176
2022-02-09,8.525,2022-02-06,7.887499999999999,0.7073081913620258,0.7149806098798265,0.6375000000000011,396.8214,1116.6739,-1.7064000316232764,-0.22,82.6520004272461,0.40187035268043414,0.8682463069712609,0.9944375235925756,-6.837862088397115,0.0008897558833757,-7.024563420080022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.41699981689453,-0.8358942435797131
2022-02-10,6.65,2022-02-07,6.015625,1.0713094954275304,0.7105531303428682,0.6343750000000004,392.4174,1116.6749,-1.7263975689886102,-0.39,79.59500122070312,0.2598847298003813,0.9038473866208928,0.9171479284395724,-6.771390325376466,0.001420365401619,-6.556841114683529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.35299682617188,1.0685680112953455
2022-02-11,5.1,2022-02-08,4.35625,1.372217240121681,0.8655149141363712,0.7437499999999995,388.3226,1116.6749,-1.7448952910515438,-0.37,77.30000305175781,0.4253684599431375,0.6471819949035081,0.9214419539184064,-5.435501937141539,0.0008559894318861,-7.063252526657879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4260025024414,0.46964889747561406
2022-02-14,8.75,2022-02-11,8.314583333333333,0.6636280348741654,0.42867026648992196,0.4354166666666668,375.1295,1116.6749,-1.8038880262792787,-0.42,77.4260025024414,-2.2491757006872803,-0.31880284176289675,0.8214392816916726,-5.330237315361621,0.0016401442738304,-6.412971068557784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77100372314453,0.8099735542095193
2022-02-15,7.5,2022-02-12,6.8125,0.9062955709178351,0.7858202824711411,0.6875,371.3088,1116.6749,-1.8208859330398126,-0.34,77.4260025024414,-2.2491757006872803,-0.31880284176289675,0.8214392816916726,-5.330237315361621,0.0016401442738304,-6.412971068557784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.91899871826172,0.039559830023060655
2022-02-16,10.775,2022-02-13,10.008333333333333,0.2705066264834204,0.897983097407393,0.7666666666666675,368.3807,1116.6749,-1.8338843323272795,-0.26,77.4260025024414,-2.2491757006872803,-0.31880284176289675,0.8214392816916726,-5.330237315361621,0.0016401442738304,-6.412971068557784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.79499816894531,-0.18823429069574102
2022-02-17,10.475,2022-02-14,9.16875,0.3287468351339013,1.66246123078868,1.3062500000000004,364.4237,1116.6725,-1.85188211595608,-0.35,80.77100372314453,0.4762707829968054,-0.19590451099573664,0.7846921619198773,-5.163977233095225,0.0017888976878149,-6.326155665126735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.91400146484375,1.0153821306080115
2022-02-18,9.3,2022-02-15,8.529166666666667,0.5568543190149506,0.903886403456669,0.7708333333333339,360.3072,1116.6725,-1.8698798995848804,-0.37,70.91899871826172,0.5069867369461035,-0.14171749107905232,0.7806466592124908,-5.36688442502232,0.0169207215017247,-4.079216283708195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.76200103759766,1.6209891285441596
2022-02-22,7.75,2022-02-19,7.731249999999999,0.8577620637091011,-0.1616603384377124,0.0187500000000007,349.2588,1116.6725,-1.9193738045640818,-0.22,73.76200103759766,0.8713217799879716,1.0789125217074995,0.7191865854664039,-2.766845004421275,0.0002401601264817,-8.3342046592591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.78900146484375,0.17270102585835437
2022-02-23,8.25,2022-02-20,7.373958333333332,0.7606950492916332,1.0529448812008972,0.8760416666666675,347.3623,1116.6725,-1.9278727579443489,-0.17,73.76200103759766,0.8713217799879716,1.0789125217074995,0.7191865854664039,-2.766845004421275,0.0002401601264817,-8.3342046592591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.89099884033203,-0.7539952558958383
2022-02-24,7.375,2022-02-21,6.705208333333333,0.9305623245222021,0.7607312317617169,0.6697916666666668,343.7363,1116.6725,-1.9443707262707493,-0.32,73.76200103759766,0.8713217799879716,1.0789125217074995,0.7191865854664039,-2.766845004421275,0.0002401601264817,-8.3342046592591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.3159942626953,0.37156017901810023
2022-02-25,5.45,2022-02-22,4.7125,1.3042703300294536,0.8566599550624571,0.7374999999999998,340.0494,1116.6725,-1.9608686945971494,-0.33,79.78900146484375,-0.20347636054662682,1.033093937232319,0.7074871776414896,-2.6525177885788978,0.0061688396042246,-5.088244529218321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.4219970703125,2.4416373043325295
2022-02-28,5.625,2022-02-25,5.677083333333333,1.2702968749833397,-0.2620165412754109,0.052083333333333,331.4167,1116.6725,-1.9993639540254173,-0.25,94.4219970703125,2.1191096999461134,2.7272291154007613,1.7174995866598877,-3.357243898962723,0.1242006487548793,-2.085856886019112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.59500122070312,6.293798895405305
2022-03-01,5.875,2022-02-26,5.919791666666667,1.2217633677746058,-0.25168575568917784,0.0447916666666667,329.5142,1116.6725,-2.0078629074056837,-0.17,94.4219970703125,2.1191096999461134,2.7272291154007613,1.7174995866598877,-3.357243898962723,0.1242006487548793,-2.085856886019112,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.67400360107422,4.382846877274698
