date,realised_temp,issue_date,forecast_temp,HDD,forecast_error,abs_forecast_error,gasInStorage,workingGasVolume,full,trend,issue_date_price,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d,daily_rv,log_daily_rv,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,actual_date_price,GPRD
2022-02-07,6.075,2022-02-04,5.53125,11.925,0.5437500000000002,0.5437500000000002,402.0459,1116.6739,36.0,-0.34,82.6520004272461,-6.6232560359080175,-5.532457563496262,-5.307781318069048,-6.837862088397115,0.0008897558833757,-7.024563420080022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.59500122070312,92.57479858398438
2022-02-08,8.299999999999999,2022-02-05,7.300000000000001,9.7,0.9999999999999982,0.9999999999999982,399.3311,1116.6739,35.76,-0.24,82.6520004272461,-6.6232560359080175,-5.532457563496262,-5.307781318069048,-6.837862088397115,0.0008897558833757,-7.024563420080022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.30000305175781,47.5650749206543
2022-02-09,8.525,2022-02-06,7.887499999999999,9.475,0.6375000000000011,0.6375000000000011,396.8214,1116.6739,35.54,-0.22,82.6520004272461,-6.6232560359080175,-5.532457563496262,-5.307781318069048,-6.837862088397115,0.0008897558833757,-7.024563420080022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.41699981689453,78.2496337890625
2022-02-10,6.65,2022-02-07,6.015625,11.35,0.6343750000000004,0.6343750000000004,392.4174,1116.6749,35.14,-0.39,79.59500122070312,-7.024563420080022,-5.488785360570392,-5.391692583309911,-6.771390325376466,0.001420365401619,-6.556841114683529,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.35299682617188,195.15126037597656
2022-02-11,5.1,2022-02-08,4.35625,12.9,0.7437499999999995,0.7437499999999995,388.3226,1116.6749,34.77,-0.37,77.30000305175781,-6.556841114683529,-5.803639381331681,-5.3870306736415765,-5.435501937141539,0.0008559894318861,-7.063252526657879,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.4260025024414,158.38780212402344
2022-02-14,8.75,2022-02-11,8.314583333333333,9.25,0.4354166666666668,0.4354166666666668,375.1295,1116.6749,33.59,-0.42,77.4260025024414,-14.116158031311215,-6.988622708393357,-5.495600924752363,-5.330237315361621,0.0016401442738304,-6.412971068557784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.77100372314453,179.2779541015625
2022-02-15,7.5,2022-02-12,6.8125,10.5,0.6875,0.6875,371.3088,1116.6749,33.25,-0.34,77.4260025024414,-14.116158031311215,-6.988622708393357,-5.495600924752363,-5.330237315361621,0.0016401442738304,-6.412971068557784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.91899871826172,131.98764038085938
2022-02-16,10.775,2022-02-13,10.008333333333333,7.225,0.7666666666666675,0.7666666666666675,368.3807,1116.6749,32.99,-0.26,77.4260025024414,-14.116158031311215,-6.988622708393357,-5.495600924752363,-5.330237315361621,0.0016401442738304,-6.412971068557784,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.79499816894531,118.00495147705078
2022-02-17,10.475,2022-02-14,9.16875,7.525,1.3062500000000004,1.3062500000000004,364.4237,1116.6725,32.63,-0.35,80.77100372314453,-6.412971068557784,-6.837862088397115,-5.53549629886973,-5.163977233095225,0.0017888976878149,-6.326155665126735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.91400146484375,191.8865509033203
2022-02-18,9.3,2022-02-15,8.529166666666667,8.7,0.7708333333333339,0.7708333333333339,360.3072,1116.6725,32.27,-0.37,70.91899871826172,-6.326155665126735,-6.771390325376466,-5.539888393951094,-5.36688442502232,0.0169207215017247,-4.079216283708195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.76200103759766,229.06053161621094
