date,price,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,daily_return,daily_rv,log_daily_rv,log_vol_lag1,log_vol_lag5,log_vol_lag22,future_log_vol_5d
2022-01-03,80.43399810791016,0,0,0,0,0,0,0,0,0,0,0,,,,,,,-5.370024065059361
2022-01-04,88.74099731445312,0,0,0,0,0,0,0,0,0,0,0,0.09828503565723516,0.009659948234143987,-4.639766989452815,,,,-5.584286874826414
2022-01-05,91.52200317382812,0,0,0,0,0,0,0,0,0,0,0,0.030857430717988105,0.0009521810305154359,-6.9567553820959995,-4.639766989452815,,,-5.521504091719667
2022-01-06,96.50199890136719,0,0,0,0,0,0,0,0,0,0,0,0.052984306916341345,0.002807336779405057,-5.8755190100301,-6.9567553820959995,,,-4.999404495664084
2022-01-07,88.17400360107422,0,0,0,0,0,0,0,0,0,0,0,-0.0902515463189374,0.008145341612959303,-4.810309096253409,-5.8755190100301,,,-5.264061617105303
2022-01-10,84.60700225830078,0,0,0,0,0,0,0,0,0,0,0,-0.041295143617616346,0.00170528888639956,-6.374020747174256,-4.810309096253409,,,-4.958899896865891
2022-01-11,78.73600006103516,0,0,0,0,0,0,0,0,0,0,0,-0.07191654729884979,0.005171989775387699,-5.264497794797663,-6.374020747174256,-5.370024065059361,,-5.077049931160358
2022-01-12,75.15299987792969,0,0,0,0,0,0,0,0,0,0,0,-0.046574450961224714,0.0021691794823395258,-6.1334063012112265,-5.264497794797663,-5.584286874826414,,-5.148166196706416
2022-01-13,85.45999908447266,0,0,0,0,0,0,0,0,0,0,0,0.12852238556535953,0.016518003591410934,-4.1033043661090165,-6.1334063012112265,-5.521504091719667,,-5.81358014191419
2022-01-14,86.97000122070312,0,0,0,0,0,0,0,0,0,0,0,0.01751482613463937,0.0003067691345266463,-8.089415094813939,-4.1033043661090165,-4.999404495664084,,-4.795654213377222
